(house, casa)
(area, área)
(art, arte)
(attention, atención)
(background, fondo)
(behavior, comportamiento)
(belief, creencia)
(birth, nacimiento)
(choice, elección)
(chance, oportunidad)
(change, cambio)
(character, carácter)
(community, comunidad)
(condition, condición)
(connection, conexión)
(culture, cultura)
(death, muerte)
(decision, decisión)
(development, desarrollo)
(difference, diferencia)
(difficulty, dificultad)
(direction, dirección)
(discovery, descubrimiento)
(education, educación)
(effect, efecto)
(effort, esfuerzo)
(energy, energía)
(experience, experiencia)
(explanation, explicación)
(fact, hecho)
(freedom, libertad)
(growth, crecimiento)
(history, historia)
(information, información)
(interest, interés)
(knowledge, conocimiento)
(language, idioma)
(law, ley)
(level, nivel)
(life, vida)
(memory, memoria)
(message, mensaje)
(method, método)
(moment, momento)
(movement, movimiento)
(nature, naturaleza)
(opinion, opinión)
(opportunity, oportunidad)
(order, orden)
(power, poder)
(reason, razón)
(research, investigación)
(result, resultado)
(role, rol)
(rule, regla)
(science, ciencia)
(service, servicio)
(situation, situación)
(skill, habilidad)
(society, sociedad)
(truth, verdad)
(value, valor)
(view, vista)
(work, trabajo)
(world, mundo)
(accept, aceptar)
(achieve, lograr)
(act, actuar)
(add, añadir)
(admit, admitir)
(advise, aconsejar)
(allow, permitir)
(answer, responder)
(appear, aparecer)
(apply, aplicar)
(argue, discutir)
(arrange, organizar)
(arrive, llegar)
(ask, preguntar)
(avoid, evitar)
(become, convertirse)
(begin, comenzar)
(believe, creer)
(belong, pertenecer)
(build, construir)
(carry, cargar)
(catch, atrapar)
(change, cambiar)
(check, revisar)
(choose, elegir)
(claim, afirmar)
(collect, recoger)
(come, venir)
(compare, comparar)
(complete, completar)
(confirm, confirmar)
(connect, conectar)
(consider, considerar)
(continue, continuar)
(control, controlar)
(create, crear)
(decide, decidir)
(develop, desarrollar)
(die, morir)
(discover, descubrir)
(discuss, discutir)
(draw, dibujar)
(drive, conducir)
(eat, comer)
(enjoy, disfrutar)
(explain, explicar)
(fall, caer)
(feel, sentir)
(fight, pelear)
(find, encontrar)
(follow, seguir)
(forget, olvidar)
(get, obtener)
(give, dar)
(go, ir)
(grow, crecer)
(happen, suceder)
(help, ayudar)
(hold, sostener)
(hope, esperar)
(improve, mejorar)
(include, incluir)
(increase, aumentar)
(join, unirse)
(keep, mantener)
(know, saber)
(learn, aprender)
(leave, dejar)
(let, permitir)
(like, gustar)
(listen, escuchar)
(live, vivir)
(look, mirar)
(lose, perder)
(love, amar)
(make, hacer)
(mean, significar)
(meet, conocer)
(move, mover)
(need, necesitar)
(open, abrir)
(pay, pagar)
(play, jugar)
(provide, proveer)
(put, poner)
(read, leer)
(receive, recibir)
(reduce, reducir)
(remain, permanecer)
(remember, recordar)
(remove, eliminar)
(report, informar)
(require, requerir)
(return, regresar)
(run, correr)
(say, decir)
(see, ver)
(seem, parecer)
(sell, vender)
(send, enviar)
(set, establecer)
(show, mostrar)
(sit, sentarse)
(speak, hablar)
(spend, gastar)
(stand, estar de pie)
(start, empezar)
(stay, quedarse)
(stop, detener)
(study, estudiar)
(take, tomar)
(talk, hablar)
(tell, decir)
(think, pensar)
(try, intentar)
(turn, girar)
(understand, entender)
(use, usar)
(wait, esperar)
(walk, caminar)
(want, querer)
(watch, mirar)
(win, ganar)
(work, trabajar)
(write, escribir)
(able, capaz)
(active, activo)
(actual, actual)
(additional, adicional)
(afraid, asustado)
(alone, solo)
(amazing, asombroso)
(angry, enojado)
(anxious, ansioso)
(available, disponible)
(aware, consciente)
(bad, malo)
(beautiful, hermoso)
(best, mejor)
(better, mejor)
(busy, ocupado)
(calm, tranquilo)
(careful, cuidadoso)
(certain, cierto)
(clear, claro)
(close, cercano)
(common, común)
(complete, completo)
(confident, confiado)
(correct, correcto)
(crazy, loco)
(dangerous, peligroso)
(dead, muerto)
(deep, profundo)
(different, diferente)
(direct, directo)
(early, temprano)
(easy, fácil)
(effective, efectivo)
(else, otro)
(enough, suficiente)
(exact, exacto)
(famous, famoso)
(far, lejano)
(fast, rápido)
(free, libre)
(full, lleno)
(fun, divertido)
(general, general)
(good, bueno)
(great, genial)
(hard, difícil)
(healthy, saludable)
(high, alto)
(honest, honesto)
(huge, enorme)
(important, importante)
(impossible, imposible)
(interested, interesado)
(kind, amable)
(large, grande)
(last, último)
(late, tarde)
(little, pequeño)
(local, local)
(long, largo)
(low, bajo)
(main, principal)
(married, casado)
(modern, moderno)
(natural, natural)
(necessary, necesario)
(new, nuevo)
(nice, agradable)
(normal, normal)
(old, viejo)
(open, abierto)
(other, otro)
(own, propio)
(past, pasado)
(perfect, perfecto)
(possible, posible)
(public, público)
(quick, rápido)
(real, real)
(recent, reciente)
(right, correcto)
(safe, seguro)
(same, mismo)
(serious, serio)
(short, corto)
(simple, simple)
(single, soltero)
(slow, lento)
(small, pequeño)
(special, especial)
(strong, fuerte)
(sure, seguro)
(true, verdadero)
(usual, usual)
(weak, débil)
(whole, completo)
(wrong, incorrecto)
(abroad, en el extranjero)
(absence, ausencia)
(accident, accidente)
(account, cuenta)
(achievement, logro)
(action, acción)
(adult, adulto)
(advantage, ventaja)
(adventure, aventura)
(advertisement, anuncio)
(advice, consejo)
(agreement, acuerdo)
(airport, aeropuerto)
(alarm, alarma)
(album, álbum)
(alcohol, alcohol)
(ambition, ambición)
(amount, cantidad)
(analysis, análisis)
(anger, enojo)
(animal, animal)
(answer, respuesta)
(anxiety, ansiedad)
(apartment, apartamento)
(appearance, apariencia)
(application, solicitud)
(appointment, cita)
(argument, argumento)
(arrival, llegada)
(article, artículo)
(artist, artista)
(aspect, aspecto)
(assignment, tarea)
(assistant, asistente)
(attitude, actitud)
(audience, audiencia)
(author, autor)
(average, promedio)
(balance, equilibrio)
(bar, bar)
(base, base)
(basic, básico)
(battle, batalla)
(beauty, belleza)
(beginning, comienzo)
(benefit, beneficio)
(bill, factura)
(biology, biología)
(birthday, cumpleaños)
(blood, sangre)
(board, tabla)
(body, cuerpo)
(bonus, bono)
(bookstore, librería)
(border, frontera)
(brain, cerebro)
(branch, rama)
(brand, marca)
(break, descanso)
(breakfast, desayuno)
(breath, respiración)
(budget, presupuesto)
(building, edificio)
(business, negocio)
(button, botón)
(cabin, cabaña)
(cable, cable)
(calculator, calculadora)
(calendar, calendario)
(camera, cámara)
(camp, campamento)
(cancer, cáncer)
(candidate, candidato)
(capital, capital)
(captain, capitán)
(career, carrera)
(carpet, alfombra)
(case, caso)
(cashier, cajero)
(castle, castillo)
(category, categoría)
(cause, causa)
(celebration, celebración)
(cell, célula)
(center, centro)
(century, siglo)
(chain, cadena)
(chairman, presidente)
(champion, campeón)
(chapter, capítulo)
(charity, caridad)
(chemistry, química)
(chest, pecho)
(childhood, infancia)
(choice, elección)
(church, iglesia)
(circle, círculo)
(citizen, ciudadano)
(classroom, aula)
(client, cliente)
(climate, clima)
(clinic, clínica)
(club, club)
(coach, entrenador)
(coast, costa)
(code, código)
(coin, moneda)
(collection, colección)
(college, universidad)
(combination, combinación)
(comment, comentario)
(commerce, comercio)
(commitment, compromiso)
(committee, comité)
(communication, comunicación)
(comparison, comparación)
(competition, competencia)
(complaint, queja)
(concept, concepto)
(concern, preocupación)
(conclusion, conclusión)
(conference, conferencia)
(confidence, confianza)
(conflict, conflicto)
(confusion, confusión)
(congratulations, felicitaciones)
(connection, conexión)
(consequence, consecuencia)
(construction, construcción)
(contact, contacto)
(content, contenido)
(context, contexto)
(contract, contrato)
(contribution, contribución)
(control, control)
(conversation, conversación)
(corner, esquina)
(cost, costo)
(courage, coraje)
(course, curso)
(court, corte)
(cousin, primo)
(cover, cubierta)
(craft, oficio)
(crime, crimen)
(crowd, multitud)
(culture, cultura)
(currency, moneda)
(current, actual)
(customer, cliente)
(cycle, ciclo)
(damage, daño)
(danger, peligro)
(data, datos)
(deal, trato)
(debate, debate)
(debt, deuda)
(decade, década)
(decision, decisión)
(deep, profundo)
(defense, defensa)
(definition, definición)
(degree, grado)
(delay, retraso)
(delivery, entrega)
(demand, demanda)
(democracy, democracia)
(density, densidad)
(department, departamento)
(departure, salida)
(description, descripción)
(desert, desierto)
(design, diseño)
(desk, escritorio)
(detail, detalle)
(development, desarrollo)
(device, dispositivo)
(diary, diario)
(diet, dieta)
(difference, diferencia)
(digital, digital)
(dimension, dimensión)
(dinner, cena)
(direction, dirección)
(disaster, desastre)
(discipline, disciplina)
(discount, descuento)
(discussion, discusión)
(disease, enfermedad)
(dish, plato)
(distance, distancia)
(distribution, distribución)
(district, distrito)
(document, documento)
(domain, dominio)
(drama, drama)
(drawer, cajón)
(dream, sueño)
(dress, vestido)
(driver, conductor)
(duty, deber)
(earnings, ganancias)
(earthquake, terremoto)
(economy, economía)
(edge, borde)
(editor, editor)
(education, educación)
(effect, efecto)
(efficiency, eficiencia)
(effort, esfuerzo)
(election, elección)
(element, elemento)
(elevator, ascensor)
(emergency, emergencia)
(emotion, emoción)
(employee, empleado)
(employer, empleador)
(engine, motor)
(engineer, ingeniero)
(entertainment, entretenimiento)
(entrance, entrada)
(environment, medio ambiente)
(equipment, equipo)
(error, error)
(event, evento)
(evidence, evidencia)
(example, ejemplo)
(exchange, intercambio)
(exercise, ejercicio)
(exhibition, exhibición)
(existence, existencia)
(expectation, expectativa)
(expense, gasto)
(expert, experto)
(explanation, explicación)
(explosion, explosión)
(expression, expresión)
(extension, extensión)
(facility, instalación)
(factor, factor)
(factory, fábrica)
(failure, fracaso)
(farm, granja)
(farmer, agricultor)
(fashion, moda)
(feature, característica)
(feedback, retroalimentación)
(field, campo)
(file, archivo)
(film, película)
(finance, finanzas)
(finding, hallazgo)
(finger, dedo)
(fireman, bombero)
(flight, vuelo)
(focus, enfoque)
(food, comida)
(force, fuerza)
(form, forma)
(formula, fórmula)
(fortune, fortuna)
(foundation, fundación)
(frame, marco)
(freedom, libertad)
(frequency, frecuencia)
(friendship, amistad)
(frontier, frontera)
(fuel, combustible)
(function, función)
(furniture, muebles)
(future, futuro)
(gain, ganancia)
(gallery, galería)
(gas, gas)
(gate, puerta)
(gene, gen)
(gift, regalo)
(goal, meta)
(government, gobierno)
(grade, calificación)
(grain, grano)
(grandfather, abuelo)
(grandmother, abuela)
(grant, subvención)
(graph, gráfico)
(gravity, gravedad)
(grocery, comestibles)
(ground, suelo)
(group, grupo)
(guest, invitado)
(guidance, guía)
(habit, hábito)
(hair, cabello)
(half, mitad)
(hall, pasillo)
(handbag, bolso)
(handle, mango)
(happiness, felicidad)
(harbor, puerto)
(hardship, dificultad)
(hardware, hardware)
(harmony, armonía)
(harvest, cosecha)
(healthcare, atención médica)
(hearing, audición)
(heat, calor)
(height, altura)
(highway, autopista)
(history, historia)
(hobby, pasatiempo)
(holiday, vacaciones)
(home, hogar)
(homework, tarea)
(honor, honor)
(hope, esperanza)
(hospitality, hospitalidad)
(host, anfitrión)
(household, hogar)
(housing, vivienda)
(human, humano)
(humor, humor)
(hunger, hambre)
(husband, esposo)
(hypothesis, hipótesis)
(identity, identidad)
(impact, impacto)
(import, importación)
(importance, importancia)
(impression, impresión)
(improvement, mejora)
(income, ingreso)
(independence, independencia)
(industry, industria)
(influence, influencia)
(injury, lesión)
(innovation, innovación)
(input, entrada)
(insight, percepción)
(inspector, inspector)
(inspiration, inspiración)
(instance, instancia)
(instruction, instrucción)
(instrument, instrumento)
(insurance, seguro)
(intelligence, inteligencia)
(intention, intención)
(interaction, interacción)
(internal, interno)
(international, internacional)
(interview, entrevista)
(introduction, introducción)
(investment, inversión)
(invitation, invitación)
(issue, problema)
(item, artículo)
(jacket, chaqueta)
(jail, cárcel)
(jam, mermelada)
(jazz, jazz)
(jewel, joya)
(job, trabajo)
(journal, diario)
(journey, viaje)
(joy, alegría)
(judge, juez)
(judgment, juicio)
(juice, jugo)
(jump, salto)
(junior, junior)
(jury, jurado)
(justice, justicia)
(key, llave)
(keyboard, teclado)
(kick, patada)
(kid, niño)
(kindness, amabilidad)
(king, rey)
(kitchen, cocina)
(knee, rodilla)
(knife, cuchillo)
(knowledge, conocimiento)
(lab, laboratorio)
(label, etiqueta)
(labor, trabajo)
(lack, falta)
(ladder, escalera)
(lady, dama)
(lake, lago)
(language, idioma)
(lawyer, abogado)
(layer, capa)
(leader, líder)
(leadership, liderazgo)
(league, liga)
(learning, aprendizaje)
(lecture, conferencia)
(leg, pierna)
(lesson, lección)
(letter, carta)
(level, nivel)
(library, biblioteca)
(life, vida)
(light, luz)
(limit, límite)
(line, línea)
(link, enlace)
(liquid, líquido)
(list, lista)
(literature, literatura)
(location, ubicación)
(lock, cerradura)
(logic, lógica)
(loss, pérdida)
(luxury, lujo)
(magazine, revista)
(mail, correo)
(manager, gerente)
(manufacturing, manufactura)
(map, mapa)
(market, mercado)
(marriage, matrimonio)
(mask, máscara)
(material, material)
(math, matemáticas)
(matter, materia)
(meal, comida)
(measure, medida)
(meat, carne)
(media, medios)
(medicine, medicina)
(member, miembro)
(memory, memoria)
(mental, mental)
(message, mensaje)
(method, método)
(middle, medio)
(milk, leche)
(mind, mente)
(minority, minoría)
(minute, minuto)
(mirror, espejo)
(mission, misión)
(model, modelo)
(moment, momento)
(money, dinero)
(monkey, mono)
(month, mes)
(mood, estado de ánimo)
(morning, mañana)
(mother, madre)
(motion, movimiento)
(mountain, montaña)
(mouse, ratón)
(mouth, boca)
(movement, movimiento)
(movie, película)
(music, música)
(musician, músico)
(mystery, misterio)
(name, nombre)
(nation, nación)
(nature, naturaleza)
(necessity, necesidad)
(neck, cuello)
(negative, negativo)
(neighbor, vecino)
(network, red)
(news, noticias)
(night, noche)
(noise, ruido)
(normal, normal)
(note, nota)
(nothing, nada)
(number, número)
(nurse, enfermero)
(object, objeto)
(objective, objetivo)
(obligation, obligación)
(observation, observación)
(occasion, ocasión)
(offer, oferta)
(office, oficina)
(oil, aceite)
(operation, operación)
(opinion, opinión)
(opportunity, oportunidad)
(option, opción)
(order, orden)
(organization, organización)
(outcome, resultado)
(output, salida)
(oven, horno)
(owner, dueño)
(package, paquete)
(page, página)
(pain, dolor)
(painting, pintura)
(pair, par)
(panel, panel)
(paper, papel)
(parent, padre/madre)
(parking, estacionamiento)
(part, parte)
(partner, pareja)
(party, fiesta)
(pass, pase)
(passenger, pasajero)
(passion, pasión)
(path, camino)
(patient, paciente)
(pattern, patrón)
(payment, pago)
(peace, paz)
(penalty, penalización)
(people, gente)
(percent, porcentaje)
(performance, rendimiento)
(period, período)
(person, persona)
(pet, mascota)
(phone, teléfono)
(photo, foto)
(phrase, frase)
(physics, física)
(picture, imagen)
(piece, pieza)
(pilot, piloto)
(place, lugar)
(plan, plan)
(plane, avión)
(plant, planta)
(platform, plataforma)
(player, jugador)
(pleasure, placer)
(point, punto)
(police, policía)
(policy, política)
(politics, política)
(pool, piscina)
(population, población)
(position, posición)
(possibility, posibilidad)
(post, correo)
(pot, olla)
(potato, papa)
(power, poder)
(practice, práctica)
(preference, preferencia)
(preparation, preparación)
(presence, presencia)
(president, presidente)
(pressure, presión)
(price, precio)
(pride, orgullo)
(principle, principio)
(priority, prioridad)
(prison, prisión)
(problem, problema)
(process, proceso)
(product, producto)
(professor, profesor)
(profile, perfil)
(program, programa)
(progress, progreso)
(project, proyecto)
(promise, promesa)
(property, propiedad)
(proposal, propuesta)
(protection, protección)
(protest, protesta)
(psychology, psicología)
(public, público)
(purpose, propósito)
(push, empujar)
(quality, calidad)
(quantity, cantidad)
(question, pregunta)
(queue, fila)
(race, carrera)
(radio, radio)
(range, rango)
(rate, tasa)
(reaction, reacción)
(reality, realidad)
(reason, razón)
(record, registro)
(recovery, recuperación)
(reference, referencia)
(region, región)
(regret, arrepentimiento)
(relation, relación)
(relationship, relación)
(release, liberación)
(relief, alivio)
(religion, religión)
(report, informe)
(request, solicitud)
(research, investigación)
(resource, recurso)
(response, respuesta)
(responsibility, responsabilidad)
(result, resultado)
(return, regreso)
(revenue, ingresos)
(review, revisión)
(reward, recompensa)
(risk, riesgo)
(role, rol)
(room, habitación)
(rule, regla)
(run, carrera)
(safety, seguridad)
(salary, salario)
(sample, muestra)
(satisfaction, satisfacción)
(scale, escala)
(scene, escena)
(schedule, horario)
(school, escuela)
(science, ciencia)
(score, puntuación)
(screen, pantalla)
(season, temporada)
(seat, asiento)
(second, segundo)
(secret, secreto)
(section, sección)
(security, seguridad)
(selection, selección)
(sense, sentido)
(series, serie)
(service, servicio)
(session, sesión)
(setting, entorno)
(shape, forma)
(share, participación)
(shelter, refugio)
(ship, barco)
(shirt, camisa)
(shock, sorpresa)
(shoe, zapato)
(shop, tienda)
(shortage, escasez)
(side, lado)
(sign, señal)
(signal, señal)
(significance, importancia)
(silence, silencio)
(silver, plata)
(similarity, similitud)
(simple, simple)
(singer, cantante)
(sister, hermana)
(site, sitio)
(situation, situación)
(size, tamaño)
(skill, habilidad)
(skin, piel)
(sky, cielo)
(sleep, sueño)
(society, sociedad)
(software, software)
(solution, solución)
(sound, sonido)
(source, fuente)
(space, espacio)
(speaker, hablante)
(speed, velocidad)
(spirit, espíritu)
(sport, deporte)
(spot, lugar)
(stage, escenario)
(standard, estándar)
(star, estrella)
(start, inicio)
(state, estado)
(statement, declaración)
(station, estación)
(status, estado)
(step, paso)
(stock, acciones)
(stone, piedra)
(storage, almacenamiento)
(story, historia)
(strategy, estrategia)
(street, calle)
(strength, fuerza)
(student, estudiante)
(studio, estudio)
(style, estilo)
(subject, sujeto)
(success, éxito)
(suggestion, sugerencia)
(summary, resumen)
(support, apoyo)
(surface, superficie)
(system, sistema)
